Classifier,Feature Type,Accuracy,Balanced Accuracy,Precision,Recall,F1-score,Dataset
RandomForestClassifier,TF-IDF,0.530194473,0.523592667,0.526930943,0.530194473,0.516924349,Eclipse
RandomForestClassifier,DistilBERT,0.526100307,0.523338734,0.524432596,0.526100307,0.523941997,Eclipse
RandomForestClassifier,GCN,0.484135107,0.480283481,0.480519164,0.484135107,0.479554681,Eclipse
RandomForestClassifier,RNN,0.490276356,0.49003576,0.490851577,0.490276356,0.490463381,Eclipse
SVC,TF-IDF,0.5209826,0.510151017,0.514868342,0.5209826,0.482526449,Eclipse
SVC,DistilBERT,0.529170931,0.526455182,0.527575355,0.529170931,0.527094622,Eclipse
SVC,GCN,0.531218014,0.526704917,0.528668211,0.531218014,0.525190755,Eclipse
SVC,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
KNeighborsClassifier,TF-IDF,0.495394063,0.49790348,0.49865915,0.495394063,0.493592287,Eclipse
KNeighborsClassifier,DistilBERT,0.509723644,0.506772241,0.507669504,0.509723644,0.507196769,Eclipse
KNeighborsClassifier,GCN,0.506653019,0.50414687,0.504982527,0.506653019,0.504882531,Eclipse
KNeighborsClassifier,RNN,0.494370522,0.492663231,0.49344342,0.494370522,0.493656861,Eclipse
MultinomialNB,TF-IDF,0.508700102,0.500467992,0.501350503,0.508700102,0.486881259,Eclipse
MultinomialNB,DistilBERT,0.511770727,0.506449054,0.50765639,0.511770727,0.503048876,Eclipse
MultinomialNB,GCN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
MultinomialNB,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
MLPClassifier,TF-IDF,0.496417605,0.500688347,0.501523086,0.496417605,0.49081459,Eclipse
MLPClassifier,DistilBERT,0.539406346,0.525412169,0.549574531,0.539406346,0.473565346,Eclipse
MLPClassifier,GCN,0.498464688,0.497909776,0.498710544,0.498464688,0.498568841,Eclipse
MLPClassifier,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
RandomForestClassifier,TF-IDF,0.501535312,0.496360996,0.49694263,0.501535312,0.493191006,Eclipse
RandomForestClassifier,DistilBERT,0.527123849,0.523586371,0.524952138,0.527123849,0.52347554,Eclipse
RandomForestClassifier,GCN,0.507676561,0.503330507,0.50425748,0.507676561,0.501926993,Eclipse
RandomForestClassifier,RNN,0.494370522,0.49372723,0.494535582,0.494370522,0.494444778,Eclipse
SVC,TF-IDF,0.505629478,0.495878314,0.495499003,0.505629478,0.474172243,Eclipse
SVC,DistilBERT,0.53531218,0.532278848,0.533609108,0.53531218,0.532697554,Eclipse
SVC,GCN,0.516888434,0.514316774,0.515260925,0.516888434,0.515026626,Eclipse
SVC,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
KNeighborsClassifier,TF-IDF,0.489252815,0.484549972,0.484627313,0.489252815,0.482310685,Eclipse
KNeighborsClassifier,DistilBERT,0.534288639,0.532113057,0.53311813,0.534288639,0.533017696,Eclipse
KNeighborsClassifier,GCN,0.525076766,0.522927405,0.523864205,0.525076766,0.52383492,Eclipse
KNeighborsClassifier,RNN,0.504605937,0.502342058,0.503154888,0.504605937,0.503196348,Eclipse
MultinomialNB,TF-IDF,0.550665302,0.543359552,0.550192649,0.550665302,0.534844505,Eclipse
MultinomialNB,DistilBERT,0.536335722,0.529007102,0.5338421,0.536335722,0.520010389,Eclipse
MultinomialNB,GCN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
MultinomialNB,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
MLPClassifier,TF-IDF,0.485158649,0.489534191,0.489719362,0.485158649,0.47908138,Eclipse
MLPClassifier,DistilBERT,0.545547595,0.544003828,0.544876839,0.545547595,0.544983739,Eclipse
MLPClassifier,GCN,0.508700102,0.508243373,0.50902379,0.508700102,0.508827878,Eclipse
MLPClassifier,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
RandomForestClassifier,TF-IDF,0.522006141,0.51637342,0.518371802,0.522006141,0.51233792,Eclipse
RandomForestClassifier,DistilBERT,0.515864893,0.512432215,0.513503636,0.515864893,0.512396938,Eclipse
RandomForestClassifier,GCN,0.518935517,0.515466817,0.516615604,0.518935517,0.515402117,Eclipse
RandomForestClassifier,RNN,0.491299898,0.490037859,0.490836423,0.491299898,0.491006015,Eclipse
SVC,TF-IDF,0.574206755,0.566406578,0.578192874,0.574206755,0.55684925,Eclipse
SVC,DistilBERT,0.539406346,0.535724779,0.537485079,0.539406346,0.535499497,Eclipse
SVC,GCN,0.500511771,0.497013666,0.497742419,0.500511771,0.496843049,Eclipse
SVC,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
KNeighborsClassifier,TF-IDF,0.498464688,0.501920236,0.502786685,0.498464688,0.49489701,Eclipse
KNeighborsClassifier,DistilBERT,0.518935517,0.517676662,0.518473295,0.518935517,0.518626238,Eclipse
KNeighborsClassifier,GCN,0.503582395,0.50168519,0.502488166,0.503582395,0.50265139,Eclipse
KNeighborsClassifier,RNN,0.503582395,0.501848883,0.502650284,0.503582395,0.502837783,Eclipse
MultinomialNB,TF-IDF,0.515864893,0.508094371,0.510179255,0.515864893,0.496769179,Eclipse
MultinomialNB,DistilBERT,0.514841351,0.509156272,0.510636636,0.514841351,0.504879719,Eclipse
MultinomialNB,GCN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
MultinomialNB,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
MLPClassifier,TF-IDF,0.507676561,0.501284354,0.502207425,0.507676561,0.494823045,Eclipse
MLPClassifier,DistilBERT,0.518935517,0.521850813,0.523205128,0.518935517,0.516615923,Eclipse
MLPClassifier,GCN,0.463664278,0.461989826,0.462720661,0.463664278,0.462998827,Eclipse
MLPClassifier,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
RandomForestClassifier,TF-IDF,0.498464688,0.491771318,0.491668334,0.498464688,0.484115193,Eclipse
RandomForestClassifier,DistilBERT,0.481064483,0.47806734,0.478538475,0.481064483,0.4783899,Eclipse
RandomForestClassifier,GCN,0.518935517,0.514648356,0.516005002,0.518935517,0.51342756,Eclipse
RandomForestClassifier,RNN,0.476970317,0.476994947,0.4778253,0.476970317,0.477177511,Eclipse
SVC,TF-IDF,0.517911975,0.50826226,0.511362996,0.517911975,0.487786931,Eclipse
SVC,DistilBERT,0.514841351,0.510711348,0.511880831,0.514841351,0.509719736,Eclipse
SVC,GCN,0.497441146,0.493815372,0.494458583,0.497441146,0.493469137,Eclipse
SVC,RNN,0.519959058,0.5,0.270357422,0.519959058,0.355743033,Eclipse
KNeighborsClassifier,TF-IDF,0.495901639,0.499343832,0.500161087,0.495901639,0.492541451,Eclipse
KNeighborsClassifier,DistilBERT,0.50307377,0.501270274,0.502113276,0.50307377,0.502314714,Eclipse
KNeighborsClassifier,GCN,0.475409836,0.474022478,0.474863941,0.475409836,0.475065217,Eclipse
KNeighborsClassifier,RNN,0.518442623,0.517548287,0.518361884,0.518442623,0.51840008,Eclipse
MultinomialNB,TF-IDF,0.513319672,0.504719362,0.506462349,0.513319672,0.490859396,Eclipse
MultinomialNB,DistilBERT,0.542008197,0.53480214,0.540000248,0.542008197,0.527233105,Eclipse
MultinomialNB,GCN,0.520491803,0.5,0.270911717,0.520491803,0.356347488,Eclipse
MultinomialNB,RNN,0.520491803,0.5,0.270911717,0.520491803,0.356347488,Eclipse
MLPClassifier,TF-IDF,0.508196721,0.503331314,0.504330376,0.508196721,0.501322595,Eclipse
MLPClassifier,DistilBERT,0.532786885,0.517026718,0.541350887,0.532786885,0.450015904,Eclipse
MLPClassifier,GCN,0.505122951,0.502565785,0.503428631,0.505122951,0.503385677,Eclipse
MLPClassifier,RNN,0.520491803,0.5,0.270911717,0.520491803,0.356347488,Eclipse
RandomForestClassifier,TF-IDF,0.508196721,0.50282657,0.503837556,0.508196721,0.499750154,Eclipse
RandomForestClassifier,DistilBERT,0.532786885,0.529056464,0.530641893,0.532786885,0.528961651,Eclipse
RandomForestClassifier,GCN,0.479508197,0.475099266,0.475025615,0.479508197,0.473723473,Eclipse
RandomForestClassifier,RNN,0.506147541,0.503213541,0.504096112,0.506147541,0.503794558,Eclipse
SVC,TF-IDF,0.525614754,0.514932028,0.520906803,0.525614754,0.490655963,Eclipse
SVC,DistilBERT,0.524590164,0.521687193,0.52281548,0.524590164,0.522325052,Eclipse
SVC,GCN,0.484631148,0.481366512,0.481886045,0.484631148,0.481609971,Eclipse
SVC,RNN,0.520491803,0.5,0.270911717,0.520491803,0.356347488,Eclipse
KNeighborsClassifier,TF-IDF,0.506147541,0.504438921,0.505209494,0.506147541,0.505372978,Eclipse
KNeighborsClassifier,DistilBERT,0.49795082,0.495910137,0.496645987,0.49795082,0.496764138,Eclipse
KNeighborsClassifier,GCN,0.505122951,0.503932157,0.504689602,0.505122951,0.504842225,Eclipse
KNeighborsClassifier,RNN,0.485655738,0.484235627,0.484980263,0.485655738,0.485187788,Eclipse
MultinomialNB,TF-IDF,0.510245902,0.503669312,0.504840148,0.510245902,0.495925157,Eclipse
MultinomialNB,DistilBERT,0.515368852,0.508520374,0.510338869,0.515368852,0.499909347,Eclipse
MultinomialNB,GCN,0.519467213,0.5,0.269846186,0.519467213,0.355185269,Eclipse
MultinomialNB,RNN,0.519467213,0.5,0.269846186,0.519467213,0.355185269,Eclipse
MLPClassifier,TF-IDF,0.512295082,0.517147988,0.519177668,0.512295082,0.504903198,Eclipse
MLPClassifier,DistilBERT,0.507172131,0.512936164,0.515069008,0.507172131,0.496455063,Eclipse
MLPClassifier,GCN,0.520491803,0.519843723,0.520568755,0.520491803,0.520528096,Eclipse
MLPClassifier,RNN,0.519467213,0.5,0.269846186,0.519467213,0.355185269,Eclipse
RandomForestClassifier,TF-IDF,0.505122951,0.500096727,0.500860383,0.505122951,0.496880764,Eclipse
RandomForestClassifier,DistilBERT,0.509221311,0.50603912,0.506914887,0.509221311,0.5060776,Eclipse
RandomForestClassifier,GCN,0.531762295,0.528134896,0.529671628,0.531762295,0.527727081,Eclipse
RandomForestClassifier,RNN,0.518442623,0.517391908,0.518139287,0.518442623,0.518256173,Eclipse
SVC,TF-IDF,0.50102459,0.492556238,0.491751413,0.50102459,0.476285434,Eclipse
SVC,DistilBERT,0.522540984,0.518939537,0.520207805,0.522540984,0.518520173,Eclipse
SVC,GCN,0.49692623,0.493805276,0.49444995,0.49692623,0.493873651,Eclipse
SVC,RNN,0.519467213,0.5,0.269846186,0.519467213,0.355185269,Eclipse
KNeighborsClassifier,TF-IDF,0.573,0.522850549,0.549735502,0.573,0.553722357,GCC
KNeighborsClassifier,DistilBERT,0.566,0.531753251,0.556280214,0.566,0.559880987,GCC
KNeighborsClassifier,GCN,0.577,0.528476855,0.555479066,0.577,0.559282386,GCC
KNeighborsClassifier,RNN,0.548,0.50667071,0.531828861,0.548,0.537061076,GCC
MultinomialNB,TF-IDF,0.619,0.529773937,0.592400814,0.619,0.54023189,GCC
MultinomialNB,DistilBERT,0.601,0.522614716,0.561514338,0.601,0.543091978,GCC
MultinomialNB,GCN,0.612,0.5,0.374544,0.612,0.464694789,GCC
MultinomialNB,RNN,0.612,0.5,0.374544,0.612,0.464694789,GCC
MLPClassifier,TF-IDF,0.606,0.557357995,0.587069711,0.606,0.58799364,GCC
MLPClassifier,DistilBERT,0.612,0.536318307,0.581021277,0.612,0.559379345,GCC
MLPClassifier,GCN,0.54,0.508624756,0.533431838,0.54,0.536253063,GCC
MLPClassifier,RNN,0.612,0.5,0.374544,0.612,0.464694789,GCC
RandomForestClassifier,TF-IDF,0.605,0.541447679,0.577174796,0.605,0.570363229,GCC
RandomForestClassifier,DistilBERT,0.614,0.528990634,0.581457685,0.614,0.543959106,GCC
RandomForestClassifier,GCN,0.609,0.500850684,0.53456023,0.609,0.475386013,GCC
RandomForestClassifier,RNN,0.534,0.500421131,0.525498022,0.534,0.529018558,GCC
SVC,TF-IDF,0.611,0.515691328,0.570720781,0.611,0.516682821,GCC
SVC,DistilBERT,0.617,0.541818274,0.589185875,0.617,0.565452036,GCC
SVC,GCN,0.612,0.5,0.374544,0.612,0.464694789,GCC
SVC,RNN,0.612,0.5,0.374544,0.612,0.464694789,GCC
KNeighborsClassifier,TF-IDF,0.557,0.498458662,0.52331097,0.557,0.528400348,GCC
KNeighborsClassifier,DistilBERT,0.574,0.534044202,0.559490223,0.574,0.563690306,GCC
KNeighborsClassifier,GCN,0.556,0.51414999,0.539459187,0.556,0.544491516,GCC
KNeighborsClassifier,RNN,0.546,0.504565056,0.529701064,0.546,0.535012673,GCC
MultinomialNB,TF-IDF,0.624,0.534802237,0.604474567,0.624,0.545738868,GCC
MultinomialNB,DistilBERT,0.611,0.526539654,0.575621609,0.611,0.541881943,GCC
MultinomialNB,GCN,0.612,0.5,0.374544,0.612,0.464694789,GCC
MultinomialNB,RNN,0.612,0.5,0.374544,0.612,0.464694789,GCC
MLPClassifier,TF-IDF,0.553,0.499907351,0.52498655,0.553,0.530795038,GCC
MLPClassifier,DistilBERT,0.629,0.551622195,0.609114279,0.629,0.5743492,GCC
MLPClassifier,GCN,0.549,0.517864362,0.542383679,0.549,0.545186898,GCC
MLPClassifier,RNN,0.612,0.5,0.374544,0.612,0.464694789,GCC
RandomForestClassifier,TF-IDF,0.561,0.496538306,0.520814861,0.561,0.524542803,GCC
RandomForestClassifier,DistilBERT,0.625,0.535147564,0.607496464,0.625,0.545354597,GCC
RandomForestClassifier,GCN,0.608,0.499090358,0.512847291,0.608,0.471524082,GCC
RandomForestClassifier,RNN,0.529,0.503882825,0.528777757,0.529,0.528888374,GCC
SVC,TF-IDF,0.605,0.516449363,0.560416524,0.605,0.526598103,GCC
SVC,DistilBERT,0.613,0.5385503,0.583086951,0.613,0.562488332,GCC
SVC,GCN,0.612,0.5,0.374544,0.612,0.464694789,GCC
SVC,RNN,0.612,0.5,0.374544,0.612,0.464694789,GCC
KNeighborsClassifier,TF-IDF,0.606,0.551226332,0.583467603,0.606,0.581850766,GCC
KNeighborsClassifier,DistilBERT,0.586,0.545734789,0.571537728,0.586,0.575269117,GCC
KNeighborsClassifier,GCN,0.564,0.519270939,0.545040541,0.564,0.549918484,GCC
KNeighborsClassifier,RNN,0.533,0.482624149,0.506607629,0.533,0.513935227,GCC
MultinomialNB,TF-IDF,0.625,0.535147564,0.607496464,0.625,0.545354597,GCC
MultinomialNB,DistilBERT,0.628,0.547503537,0.608290716,0.628,0.56773964,GCC
MultinomialNB,GCN,0.612,0.5,0.374544,0.612,0.464694789,GCC
MultinomialNB,RNN,0.612,0.5,0.374544,0.612,0.464694789,GCC
MLPClassifier,TF-IDF,0.604,0.563270669,0.589860254,0.604,0.592680914,GCC
MLPClassifier,DistilBERT,0.626,0.530776228,0.618082807,0.626,0.533528407,GCC
MLPClassifier,GCN,0.528,0.489387508,0.51455848,0.528,0.519613,GCC
MLPClassifier,RNN,0.612,0.5,0.374544,0.612,0.464694789,GCC
RandomForestClassifier,TF-IDF,0.619,0.560432249,0.597243297,0.619,0.590732552,GCC
RandomForestClassifier,DistilBERT,0.637,0.549668149,0.633555937,0.637,0.563961147,GCC
RandomForestClassifier,GCN,0.609,0.502737349,0.54608,0.609,0.481885672,GCC
RandomForestClassifier,RNN,0.52,0.492756553,0.518179966,0.52,0.519058442,GCC
SVC,TF-IDF,0.623,0.531626912,0.603696046,0.623,0.539652147,GCC
SVC,DistilBERT,0.626,0.54728455,0.604168398,0.626,0.568838091,GCC
SVC,GCN,0.612,0.5,0.374544,0.612,0.464694789,GCC
SVC,RNN,0.612,0.5,0.374544,0.612,0.464694789,GCC
KNeighborsClassifier,TF-IDF,0.58,0.526211172,0.554315087,0.58,0.556889874,GCC
KNeighborsClassifier,DistilBERT,0.594,0.56076073,0.584889183,0.594,0.587986317,GCC
KNeighborsClassifier,GCN,0.529,0.488317836,0.513381452,0.529,0.518967337,GCC
KNeighborsClassifier,RNN,0.571,0.526404892,0.552467075,0.571,0.556939751,GCC
MultinomialNB,TF-IDF,0.605,0.513619365,0.557630706,0.605,0.519974011,GCC
MultinomialNB,DistilBERT,0.617,0.53332828,0.587690421,0.617,0.549898812,GCC
MultinomialNB,GCN,0.612,0.5,0.374544,0.612,0.464694789,GCC
MultinomialNB,RNN,0.612,0.5,0.374544,0.612,0.464694789,GCC
MLPClassifier,TF-IDF,0.585,0.530296139,0.55923283,0.585,0.560882392,GCC
MLPClassifier,DistilBERT,0.632,0.565393168,0.612589037,0.632,0.593953808,GCC
MLPClassifier,GCN,0.531,0.493725153,0.518894041,0.531,0.523542397,GCC
MLPClassifier,RNN,0.612,0.5,0.374544,0.612,0.464694789,GCC
RandomForestClassifier,TF-IDF,0.593,0.530700424,0.562766642,0.593,0.559816874,GCC
RandomForestClassifier,DistilBERT,0.615,0.52697763,0.583028227,0.615,0.538582961,GCC
RandomForestClassifier,GCN,0.605,0.49758271,0.503159687,0.605,0.473338999,GCC
RandomForestClassifier,RNN,0.546,0.521073378,0.545143263,0.546,0.545563248,GCC
SVC,TF-IDF,0.622,0.531281585,0.600558612,0.622,0.540087077,GCC
SVC,DistilBERT,0.625,0.547882555,0.602214156,0.625,0.570575168,GCC
SVC,GCN,0.612,0.5,0.374544,0.612,0.464694789,GCC
SVC,RNN,0.612,0.5,0.374544,0.612,0.464694789,GCC
KNeighborsClassifier,TF-IDF,0.576576577,0.540887673,0.56579151,0.576576577,0.569485761,GCC
KNeighborsClassifier,DistilBERT,0.572572573,0.539519684,0.563991472,0.572572573,0.567254287,GCC
KNeighborsClassifier,GCN,0.522522523,0.474920201,0.499360411,0.522522523,0.506777979,GCC
KNeighborsClassifier,RNN,0.542542543,0.498385013,0.523712396,0.542542543,0.529593851,GCC
MultinomialNB,TF-IDF,0.635635636,0.545390637,0.633532557,0.635635636,0.557250765,GCC
MultinomialNB,DistilBERT,0.60960961,0.532223742,0.576100127,0.60960961,0.554713078,GCC
MultinomialNB,GCN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
MultinomialNB,RNN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
MLPClassifier,TF-IDF,0.585585586,0.536365709,0.564381564,0.585585586,0.567449676,GCC
MLPClassifier,DistilBERT,0.621621622,0.523977808,0.604991058,0.621621622,0.523743461,GCC
MLPClassifier,GCN,0.505505506,0.475756194,0.502174643,0.505505506,0.503746962,GCC
MLPClassifier,RNN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
RandomForestClassifier,TF-IDF,0.603603604,0.544896641,0.57831247,0.603603604,0.575426471,GCC
RandomForestClassifier,DistilBERT,0.635635636,0.551090591,0.625162488,0.635635636,0.569122842,GCC
RandomForestClassifier,GCN,0.603603604,0.495497036,0.48463889,0.603603604,0.471431143,GCC
RandomForestClassifier,RNN,0.520520521,0.506535948,0.531488958,0.520520521,0.524796554,GCC
SVC,TF-IDF,0.614614615,0.523008816,0.580726533,0.614614615,0.531149652,GCC
SVC,DistilBERT,0.625625626,0.551470588,0.602623378,0.625625626,0.576852577,GCC
SVC,GCN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
SVC,RNN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
KNeighborsClassifier,TF-IDF,0.571571572,0.523027816,0.54981433,0.571571572,0.554202852,GCC
KNeighborsClassifier,DistilBERT,0.557557558,0.522989816,0.547895969,0.557557558,0.551592031,GCC
KNeighborsClassifier,GCN,0.527527528,0.481855145,0.50673924,0.527527528,0.513506636,GCC
KNeighborsClassifier,RNN,0.558558559,0.508131935,0.534072829,0.558558559,0.539480447,GCC
MultinomialNB,TF-IDF,0.625625626,0.533895729,0.609384027,0.625625626,0.542902461,GCC
MultinomialNB,DistilBERT,0.617617618,0.533534732,0.588195721,0.617617618,0.550696953,GCC
MultinomialNB,GCN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
MultinomialNB,RNN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
MLPClassifier,TF-IDF,0.56956957,0.51996884,0.546713001,0.56956957,0.55120053,GCC
MLPClassifier,DistilBERT,0.621621622,0.539177687,0.595954728,0.621621622,0.558166337,GCC
MLPClassifier,GCN,0.524524525,0.482729138,0.508020322,0.524524525,0.513943276,GCC
MLPClassifier,RNN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
RandomForestClassifier,TF-IDF,0.587587588,0.523274814,0.554376798,0.587587588,0.552182758,GCC
RandomForestClassifier,DistilBERT,0.628628629,0.54252166,0.611545889,0.628628629,0.558438024,GCC
RandomForestClassifier,GCN,0.596596597,0.489778082,0.455247877,0.596596597,0.467855311,GCC
RandomForestClassifier,RNN,0.537537538,0.507599939,0.532669872,0.537537538,0.534855528,GCC
SVC,TF-IDF,0.616616617,0.524167807,0.585883776,0.616616617,0.531336086,GCC
SVC,DistilBERT,0.594594595,0.524718802,0.558849747,0.594594595,0.551366185,GCC
SVC,GCN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
SVC,RNN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
KNeighborsClassifier,TF-IDF,0.553553554,0.506896945,0.53254635,0.553553554,0.538181142,GCC
KNeighborsClassifier,DistilBERT,0.56956957,0.535643715,0.560298303,0.56956957,0.563766003,GCC
KNeighborsClassifier,GCN,0.536536537,0.495383037,0.520726986,0.536536537,0.526222604,GCC
KNeighborsClassifier,RNN,0.554554555,0.508188934,0.533879004,0.554554555,0.539434494,GCC
MultinomialNB,TF-IDF,0.614614615,0.523958808,0.580871737,0.614614615,0.533363877,GCC
MultinomialNB,DistilBERT,0.607607608,0.524414805,0.569354526,0.607607608,0.541802128,GCC
MultinomialNB,GCN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
MultinomialNB,RNN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
MLPClassifier,TF-IDF,0.556556557,0.510772914,0.536532581,0.556556557,0.541934266,GCC
MLPClassifier,DistilBERT,0.626626627,0.553237574,0.604202769,0.626626627,0.579104305,GCC
MLPClassifier,GCN,0.514514515,0.484059128,0.510068132,0.514514515,0.512116225,GCC
MLPClassifier,RNN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
RandomForestClassifier,TF-IDF,0.558558559,0.494357045,0.518471057,0.558558559,0.523022204,GCC
RandomForestClassifier,DistilBERT,0.612612613,0.527074783,0.577874485,0.612612613,0.542389845,GCC
RandomForestClassifier,GCN,0.60960961,0.500873993,0.535065196,0.60960961,0.47615053,GCC
RandomForestClassifier,RNN,0.532532533,0.503989968,0.529181829,0.532532533,0.530742995,GCC
SVC,TF-IDF,0.625625626,0.534845721,0.608403217,0.625625626,0.545087325,GCC
SVC,DistilBERT,0.626626627,0.551337589,0.604244266,0.626626627,0.576078167,GCC
SVC,GCN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
SVC,RNN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
KNeighborsClassifier,TF-IDF,0.573573574,0.524186807,0.551222664,0.573573574,0.555375409,GCC
KNeighborsClassifier,DistilBERT,0.591591592,0.557892537,0.58232053,0.591591592,0.585503385,GCC
KNeighborsClassifier,GCN,0.513513514,0.472317221,0.497725179,0.513513514,0.503673983,GCC
KNeighborsClassifier,RNN,0.531531532,0.489398085,0.514678588,0.531531532,0.520520521,GCC
MultinomialNB,TF-IDF,0.623623624,0.537961696,0.600600601,0.623623624,0.553953182,GCC
MultinomialNB,DistilBERT,0.625625626,0.547195622,0.602824369,0.625625626,0.569738616,GCC
MultinomialNB,GCN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
MultinomialNB,RNN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
MLPClassifier,TF-IDF,0.566566567,0.518467852,0.54487435,0.566566567,0.54967482,GCC
MLPClassifier,DistilBERT,0.632632633,0.532964736,0.656555502,0.632632633,0.530636794,GCC
MLPClassifier,GCN,0.563563564,0.527416781,0.552444336,0.563563564,0.556417685,GCC
MLPClassifier,RNN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
RandomForestClassifier,TF-IDF,0.572572573,0.511494908,0.53902539,0.572572573,0.541285472,GCC
RandomForestClassifier,DistilBERT,0.631631632,0.545922633,0.617739232,0.631631632,0.562489383,GCC
RandomForestClassifier,GCN,0.60960961,0.501823985,0.541859125,0.60960961,0.479439762,GCC
RandomForestClassifier,RNN,0.517517518,0.496960024,0.522501242,0.517517518,0.519769592,GCC
SVC,TF-IDF,0.610610611,0.519740842,0.571099418,0.610610611,0.528515709,GCC
SVC,DistilBERT,0.61961962,0.543243654,0.59277996,0.61961962,0.566933537,GCC
SVC,GCN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
SVC,RNN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
KNeighborsClassifier,TF-IDF,0.588588589,0.537391701,0.56615688,0.588588589,0.568506351,GCC
KNeighborsClassifier,DistilBERT,0.568568569,0.541951664,0.565513345,0.568568569,0.566916983,GCC
KNeighborsClassifier,GCN,0.544544545,0.500019,0.525382676,0.544544545,0.531237927,GCC
KNeighborsClassifier,RNN,0.566566567,0.520842833,0.547037994,0.566566567,0.551854238,GCC
MultinomialNB,TF-IDF,0.63963964,0.551033592,0.640436058,0.63963964,0.565189731,GCC
MultinomialNB,DistilBERT,0.628628629,0.549171607,0.608326103,0.628628629,0.57111174,GCC
MultinomialNB,GCN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
MultinomialNB,RNN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
MLPClassifier,TF-IDF,0.57957958,0.528613771,0.556402968,0.57957958,0.559777668,GCC
MLPClassifier,DistilBERT,0.623623624,0.58878629,0.61380844,0.623623624,0.616309286,GCC
MLPClassifier,GCN,0.538538539,0.503666971,0.528947459,0.538538539,0.532796783,GCC
MLPClassifier,RNN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
RandomForestClassifier,TF-IDF,0.600600601,0.539595683,0.573187448,0.600600601,0.569633958,GCC
RandomForestClassifier,DistilBERT,0.632632633,0.553389573,0.615442704,0.632632633,0.575735872,GCC
RandomForestClassifier,GCN,0.605605606,0.497606019,0.503712301,0.605605606,0.474100682,GCC
RandomForestClassifier,RNN,0.543543544,0.521526828,0.545710409,0.543543544,0.544574649,GCC
SVC,TF-IDF,0.630630631,0.540355677,0.620622603,0.630630631,0.55170097,GCC
SVC,DistilBERT,0.635635636,0.564865481,0.617796286,0.635635636,0.592440828,GCC
SVC,GCN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
SVC,RNN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
KNeighborsClassifier,TF-IDF,0.601601602,0.551337589,0.581264448,0.601601602,0.582383334,GCC
KNeighborsClassifier,DistilBERT,0.587587588,0.556524548,0.580373188,0.587587588,0.583150133,GCC
KNeighborsClassifier,GCN,0.557557558,0.515864873,0.54143164,0.557557558,0.546403366,GCC
KNeighborsClassifier,RNN,0.53953954,0.499734002,0.525097633,0.53953954,0.530226403,GCC
MultinomialNB,TF-IDF,0.632632633,0.547214622,0.619632159,0.632632633,0.564155277,GCC
MultinomialNB,DistilBERT,0.631631632,0.549247606,0.615238359,0.631631632,0.56896707,GCC
MultinomialNB,GCN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
MultinomialNB,RNN,0.612612613,0.5,0.375294213,0.612612613,0.465448689,GCC
MLPClassifier,TF-IDF,0.601601602,0.54753762,0.57884265,0.601601602,0.578562313,GCC
MLPClassifier,DistilBERT,0.633633634,0.55373157,0.617594013,0.633633634,0.575636431,GCC
