Dataset,Classifier,Feature Type,Accuracy,Balanced Accuracy,Precision,Recall,F1-score
Mozilla,SVC,TF-IDF,0.605,0.515378178,0.568306452,0.605,0.508778327
Mozilla,SVC,BERT,0.623,0.56935872,0.60502795,0.623,0.595856
Mozilla,KNeighborsClassifier,TF-IDF,0.604,0.554534993,0.583854575,0.604,0.581406969
Mozilla,KNeighborsClassifier,BERT,0.595,0.558081389,0.581605918,0.595,0.584225855
Mozilla,MultinomialNB,TF-IDF,0.588,0.50264672,0.528266648,0.588,0.501661896
Mozilla,MultinomialNB,BERT,0.603,0.522073439,0.56710572,0.603,0.528816385
Mozilla,MLPClassifier,TF-IDF,0.582,0.515702479,0.543972301,0.582,0.535759402
Mozilla,MLPClassifier,BERT,0.626,0.551187363,0.611781096,0.626,0.566492301
Mozilla,RandomForestClassifier,TF-IDF,0.601,0.536677477,0.572306742,0.601,0.558618661
Mozilla,RandomForestClassifier,BERT,0.609,0.527032116,0.579845038,0.609,0.532892714
Mozilla,SVC,TF-IDF,0.59,0.507375248,0.537693536,0.59,0.510733333
Mozilla,SVC,BERT,0.609,0.556470342,0.588273396,0.609,0.582964241
Mozilla,KNeighborsClassifier,TF-IDF,0.534534535,0.524398525,0.544956783,0.534534535,0.538389188
Mozilla,KNeighborsClassifier,BERT,0.588588589,0.551142175,0.574475993,0.588588589,0.577309995
Mozilla,MultinomialNB,TF-IDF,0.593593594,0.511918434,0.546778915,0.593593594,0.516134197
Mozilla,MultinomialNB,BERT,0.613613614,0.531540783,0.591004045,0.613613614,0.536915352
Mozilla,MLPClassifier,TF-IDF,0.580580581,0.519991198,0.547491755,0.580580581,0.543003544
Mozilla,MLPClassifier,BERT,0.594594595,0.522382429,0.557677819,0.594594595,0.537650413
Mozilla,RandomForestClassifier,TF-IDF,0.584584585,0.52242644,0.551360292,0.584584585,0.544705622
Mozilla,RandomForestClassifier,BERT,0.5995996,0.522579428,0.562938724,0.5995996,0.533165536
Mozilla,SVC,TF-IDF,0.588588589,0.504275295,0.531662061,0.588588589,0.504135315
Mozilla,SVC,BERT,0.5995996,0.544479839,0.575528417,0.5995996,0.569969281
Mozilla,KNeighborsClassifier,TF-IDF,0.546546547,0.49972965,0.521591274,0.546546547,0.526669124
Mozilla,KNeighborsClassifier,BERT,0.5995996,0.566818258,0.589039759,0.5995996,0.591720744
