Dataset,Classifier,Feature Type,Accuracy,Balanced Accuracy,Precision,Recall,F1-score
Mozilla,RandomForestClassifier,TF-IDF,0.602,0.542776441,0.576327524,0.602,0.56723287
Mozilla,RandomForestClassifier,DistilBERT,0.625,0.546406528,0.612756475,0.625,0.557759841
Mozilla,SVC,TF-IDF,0.605,0.515378178,0.568306452,0.605,0.508778327
Mozilla,SVC,DistilBERT,0.635,0.577957945,0.620080093,0.635,0.60395464
Mozilla,KNeighborsClassifier,TF-IDF,0.604,0.554534993,0.583854575,0.604,0.581406969
Mozilla,KNeighborsClassifier,DistilBERT,0.581,0.5491474,0.570968778,0.581,0.574133751
Mozilla,MultinomialNB,TF-IDF,0.588,0.50264672,0.528266648,0.588,0.501661896
Mozilla,MultinomialNB,DistilBERT,0.598,0.520577466,0.559454952,0.598,0.531251147
Mozilla,MLPClassifier,TF-IDF,0.576,0.519970708,0.546003999,0.576,0.545178145
Mozilla,MLPClassifier,DistilBERT,0.616,0.534574746,0.595386007,0.616,0.54176
Mozilla,RandomForestClassifier,TF-IDF,0.591,0.527973637,0.559308217,0.591,0.55034454
Mozilla,RandomForestClassifier,DistilBERT,0.616,0.539847264,0.593594817,0.616,0.553135977
Mozilla,SVC,TF-IDF,0.59,0.507375248,0.537693536,0.59,0.510733333
Mozilla,SVC,DistilBERT,0.602,0.549806465,0.580041494,0.602,0.576282207
Mozilla,KNeighborsClassifier,TF-IDF,0.534534535,0.524398525,0.544956783,0.534534535,0.538389188
Mozilla,KNeighborsClassifier,DistilBERT,0.583583584,0.548755135,0.571218827,0.583583584,0.574416478
Mozilla,MultinomialNB,TF-IDF,0.593593594,0.511918434,0.546778915,0.593593594,0.516134197
Mozilla,MultinomialNB,DistilBERT,0.616616617,0.536214268,0.596948239,0.616616617,0.54404151
Mozilla,MLPClassifier,TF-IDF,0.590590591,0.533087434,0.562782625,0.590590591,0.557644177
Mozilla,MLPClassifier,DistilBERT,0.598598599,0.528759745,0.565729802,0.598598599,0.546302366
Mozilla,RandomForestClassifier,TF-IDF,0.592592593,0.529048956,0.561127616,0.592592593,0.550762859
Mozilla,RandomForestClassifier,DistilBERT,0.602602603,0.523310839,0.567459569,0.602602603,0.531396507
Mozilla,SVC,TF-IDF,0.588588589,0.504275295,0.531662061,0.588588589,0.504135315
Mozilla,SVC,DistilBERT,0.584584585,0.523302456,0.552113718,0.584584585,0.54604975
Mozilla,KNeighborsClassifier,TF-IDF,0.546546547,0.49972965,0.521591274,0.546546547,0.526669124
Mozilla,KNeighborsClassifier,DistilBERT,0.570570571,0.540621594,0.561948767,0.570570571,0.565029457
Mozilla,MultinomialNB,TF-IDF,0.615615616,0.535824461,0.594486378,0.615615616,0.544328399
Mozilla,MultinomialNB,DistilBERT,0.600600601,0.522093218,0.563912889,0.600600601,0.530996138
Mozilla,MLPClassifier,TF-IDF,0.588588589,0.543258027,0.568930567,0.588588589,0.570111883
Mozilla,MLPClassifier,DistilBERT,0.606606607,0.527060106,0.575542715,0.606606607,0.535137726
Mozilla,RandomForestClassifier,TF-IDF,0.595595596,0.543358622,0.572380239,0.595595596,0.569497489
Mozilla,RandomForestClassifier,DistilBERT,0.604604605,0.526280493,0.571878477,0.604604605,0.535697931
Mozilla,SVC,TF-IDF,0.612612613,0.529836952,0.588946134,0.612612613,0.534148869
Mozilla,SVC,DistilBERT,0.612612613,0.554365412,0.590674053,0.612612613,0.57910782
Eclipse,KNeighborsClassifier,TF-IDF,0.511770727,0.506612746,0.507800339,0.511770727,0.503597761
Eclipse,KNeighborsClassifier,DistilBERT,0.525076766,0.522518174,0.523546776,0.525076766,0.523246514
Eclipse,MultinomialNB,TF-IDF,0.509723644,0.501206706,0.502244779,0.509723644,0.486315405
Eclipse,MultinomialNB,DistilBERT,0.531218014,0.525313534,0.528200567,0.531218014,0.520708001
Eclipse,MLPClassifier,TF-IDF,0.511770727,0.515697665,0.517219339,0.511770727,0.507273114
Eclipse,MLPClassifier,DistilBERT,0.573183214,0.567386633,0.573656788,0.573183214,0.56375088
Eclipse,RandomForestClassifier,TF-IDF,0.506653019,0.500873025,0.501737193,0.506653019,0.4962177
Eclipse,RandomForestClassifier,DistilBERT,0.534288639,0.53121275,0.532543496,0.534288639,0.531592841
Eclipse,SVC,TF-IDF,0.523029683,0.512365059,0.51773093,0.523029683,0.485985232
Eclipse,SVC,DistilBERT,0.543500512,0.541626093,0.542590333,0.543500512,0.542599083
Eclipse,KNeighborsClassifier,TF-IDF,0.505629478,0.509873999,0.511205628,0.505629478,0.500238468
Eclipse,KNeighborsClassifier,DistilBERT,0.519959058,0.518415375,0.519239472,0.519959058,0.519402893
Eclipse,MultinomialNB,TF-IDF,0.530194473,0.522610513,0.526820286,0.530194473,0.512474515
Eclipse,MultinomialNB,DistilBERT,0.539406346,0.532205396,0.53730449,0.539406346,0.523750427
Eclipse,MLPClassifier,TF-IDF,0.524053224,0.520060692,0.521506245,0.524053224,0.519336286
Eclipse,MLPClassifier,DistilBERT,0.516888434,0.524383846,0.52951271,0.516888434,0.499746605
